metric,n,P10,P25,P50,P75,P90,Mean,Std
return_on_equity_pct,89,8.35,11.55,15.75,23.53,37.27,20.55,17.24
return_on_capital_employed_pct,86,3.23,7.18,12.84,23.23,53.97,24.19,33.77
net_profit_margin_pct,92,4.62,7.25,14.02,20.35,29.25,19.94,45.19
debt_to_equity,92,0.01,0.06,0.44,1.64,6.58,1.79,3.08
free_cash_flow_cr,92,-14435.1,-1290.0,1123.5,8348.5,20412.2,918.46,23129.89
pat_cagr_5yr,84,4.36,9.87,16.02,23.56,37.69,20.15,20.5
revenue_cagr_5yr,91,5.84,8.09,11.33,16.98,21.17,12.76,7.48
eps_cagr_5yr,83,3.55,9.13,14.29,21.75,30.3,17.87,18.63
interest_coverage,91,1.61,3.18,11.36,58.09,192.29,126.17,485.93
asset_turnover,92,0.07,0.2,0.67,1.13,1.65,3.47,15.76
